2026-03-03 19:14:07 | DEBUG | __main__ | Application startup
2026-03-03 19:14:07 | DEBUG | __main__ | MainWindow initialization started
2026-03-03 19:14:07 | DEBUG | __main__ | WebEngine view created and set as central widget
2026-03-03 19:14:07 | DEBUG | __main__ | Backend object created
2026-03-03 19:14:07 | DEBUG | __main__ | Router created
2026-03-03 19:14:09 | DEBUG | __main__ | WebChannel configured and backend registered as 'backend'
2026-03-03 19:14:09 | DEBUG | router | Navigating to page: url="\UI\vocab-lesson-setup\index.html"
2026-03-03 19:14:09 | DEBUG | router | Pushed new page to history stack (size=1)
2026-03-03 19:14:09 | DEBUG | router | Activated controller signals: url="\UI\vocab-lesson-setup\index.html"
2026-03-03 19:14:09 | DEBUG | router | Requested page load: url="\UI\vocab-lesson-setup\index.html"
2026-03-03 19:14:09 | INFO | router | Page navigation completed: url="\UI\vocab-lesson-setup\index.html"
2026-03-03 19:14:09 | DEBUG | __main__ | Navigated to VocabPlannerController
2026-03-03 19:14:09 | INFO | __main__ | MainWindow initialization completed
2026-03-03 19:14:09 | INFO | __main__ | Application started successfully
2026-03-03 19:14:11 | DEBUG | backend | UI event received: name=btn-click payload={'id': 'start'}
2026-03-03 19:14:11 | DEBUG | vocab_planner_controller | Clicked the button with the id='start'
2026-03-03 19:14:11 | DEBUG | lesson_controller | LessonController initialized: tasks_total=7, url=\UI\lesson\index.html
2026-03-03 19:14:11 | DEBUG | router | Navigating to page: url="\UI\lesson\index.html"
2026-03-03 19:14:11 | DEBUG | router | Deactivated controller signals: url="\UI\vocab-lesson-setup\index.html"
2026-03-03 19:14:11 | DEBUG | router | Deactivated previous page: url="\UI\vocab-lesson-setup\index.html"
2026-03-03 19:14:11 | DEBUG | router | Pushed new page to history stack (size=2)
2026-03-03 19:14:11 | DEBUG | router | Activated controller signals: url="\UI\lesson\index.html"
2026-03-03 19:14:11 | DEBUG | router | Requested page load: url="\UI\lesson\index.html"
2026-03-03 19:14:11 | INFO | router | Page navigation completed: url="\UI\lesson\index.html"
2026-03-03 19:14:11 | DEBUG | lesson_controller | UI load finished, opening the first task
2026-03-03 19:14:11 | INFO | lesson_controller | Opening task: index=1/7 id=explanation
2026-03-03 19:15:11 | DEBUG | backend | UI event received: name=btn-click payload={'id': 'skip'}
2026-03-03 19:15:11 | DEBUG | lesson_controller | UI event received: name=btn-click payload={'id': 'skip'}
2026-03-03 19:15:11 | DEBUG | lesson_controller | Button clicked: id=skip
2026-03-03 19:15:11 | INFO | lesson_controller | Opening task: index=2/7 id=filling
2026-03-03 19:15:16 | DEBUG | backend | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:16 | DEBUG | lesson_controller | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:16 | DEBUG | lesson_controller | Button clicked: id=continue
2026-03-03 19:15:16 | DEBUG | lesson_controller | Running verifier for task type: filling
2026-03-03 19:15:16 | DEBUG | lesson_controller | Filling answer received: user_answer=['a', 'The'] expected=['a', 'The'] is_correct=True
2026-03-03 19:15:16 | INFO | lesson_controller | Task check result: task_id=filling is_correct=True
2026-03-03 19:15:16 | INFO | lesson_controller | Opening task: index=3/7 id=filling
2026-03-03 19:15:20 | DEBUG | backend | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:20 | DEBUG | lesson_controller | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:20 | DEBUG | lesson_controller | Button clicked: id=continue
2026-03-03 19:15:20 | DEBUG | lesson_controller | Running verifier for task type: filling
2026-03-03 19:15:20 | DEBUG | lesson_controller | Filling answer received: user_answer=['blue', 'green'] expected=['blue', 'green'] is_correct=True
2026-03-03 19:15:20 | INFO | lesson_controller | Task check result: task_id=filling is_correct=True
2026-03-03 19:15:20 | INFO | lesson_controller | Opening task: index=4/7 id=translation
2026-03-03 19:15:25 | DEBUG | backend | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:25 | DEBUG | lesson_controller | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:25 | DEBUG | lesson_controller | Button clicked: id=continue
2026-03-03 19:15:25 | DEBUG | lesson_controller | Running verifier for task type: translation
2026-03-03 19:15:25 | DEBUG | lesson_controller | Translation answer received: user_answer='Это очень хорошая книга' expected=['это очень хорошая книга', 'лишние три слова'] is_correct=True
2026-03-03 19:15:25 | INFO | lesson_controller | Task check result: task_id=translation is_correct=True
2026-03-03 19:15:25 | INFO | lesson_controller | Opening task: index=5/7 id=translation
2026-03-03 19:15:29 | DEBUG | backend | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:29 | DEBUG | lesson_controller | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:29 | DEBUG | lesson_controller | Button clicked: id=continue
2026-03-03 19:15:29 | DEBUG | lesson_controller | Running verifier for task type: translation
2026-03-03 19:15:29 | DEBUG | lesson_controller | Translation answer received: user_answer='Это очень плохая книга' expected=['это очень плохая книга', 'очень лишние четыре слова'] is_correct=True
2026-03-03 19:15:29 | INFO | lesson_controller | Task check result: task_id=translation is_correct=True
2026-03-03 19:15:29 | INFO | lesson_controller | Opening task: index=6/7 id=matching
2026-03-03 19:15:34 | DEBUG | backend | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:34 | DEBUG | lesson_controller | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:34 | DEBUG | lesson_controller | Button clicked: id=continue
2026-03-03 19:15:34 | DEBUG | lesson_controller | No verifier registered for task type: matching. Validating the task
2026-03-03 19:15:38 | DEBUG | backend | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:38 | DEBUG | lesson_controller | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:38 | DEBUG | lesson_controller | Button clicked: id=continue
2026-03-03 19:15:38 | DEBUG | lesson_controller | No verifier registered for task type: matching. Validating the task
2026-03-03 19:15:47 | DEBUG | backend | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:47 | DEBUG | lesson_controller | UI event received: name=btn-click payload={'id': 'continue'}
2026-03-03 19:15:47 | DEBUG | lesson_controller | Button clicked: id=continue
2026-03-03 19:15:47 | DEBUG | lesson_controller | No verifier registered for task type: matching. Validating the task
2026-03-03 19:16:01 | DEBUG | backend | UI event received: name=btn-click payload={'id': 'skip'}
2026-03-03 19:16:01 | DEBUG | lesson_controller | UI event received: name=btn-click payload={'id': 'skip'}
2026-03-03 19:16:01 | DEBUG | lesson_controller | Button clicked: id=skip
2026-03-03 19:16:01 | INFO | lesson_controller | Opening task: index=7/7 id=matching
2026-03-03 19:16:02 | DEBUG | backend | UI event received: name=btn-click payload={'id': 'skip'}
2026-03-03 19:16:02 | DEBUG | lesson_controller | UI event received: name=btn-click payload={'id': 'skip'}
2026-03-03 19:16:02 | DEBUG | lesson_controller | Button clicked: id=skip
2026-03-03 19:16:02 | INFO | lesson_controller | All tasks completed, navigating back
2026-03-03 19:16:02 | DEBUG | router | Going back: from url="\UI\lesson\index.html" to url="\UI\vocab-lesson-setup\index.html"
2026-03-03 19:16:02 | DEBUG | router | Deactivated controller signals: url="\UI\lesson\index.html"
2026-03-03 19:16:02 | DEBUG | router | Popped current page from history stack (size=1)
2026-03-03 19:16:02 | DEBUG | router | Activated controller signals: url="\UI\vocab-lesson-setup\index.html"
2026-03-03 19:16:02 | DEBUG | router | Requested page load: url="\UI\vocab-lesson-setup\index.html"
2026-03-03 19:16:02 | INFO | router | Went back to previous page: url="\UI\vocab-lesson-setup\index.html"
2026-03-03 19:16:03 | DEBUG | backend | UI event received: name=btn-click payload={'id': 'start'}
2026-03-03 19:16:03 | DEBUG | vocab_planner_controller | Clicked the button with the id='start'
2026-03-03 19:16:03 | DEBUG | lesson_controller | LessonController initialized: tasks_total=7, url=\UI\lesson\index.html
2026-03-03 19:16:03 | DEBUG | router | Navigating to page: url="\UI\lesson\index.html"
2026-03-03 19:16:03 | DEBUG | router | Deactivated controller signals: url="\UI\vocab-lesson-setup\index.html"
2026-03-03 19:16:03 | DEBUG | router | Deactivated previous page: url="\UI\vocab-lesson-setup\index.html"
2026-03-03 19:16:03 | DEBUG | router | Pushed new page to history stack (size=2)
2026-03-03 19:16:03 | DEBUG | router | Activated controller signals: url="\UI\lesson\index.html"
2026-03-03 19:16:03 | DEBUG | router | Requested page load: url="\UI\lesson\index.html"
2026-03-03 19:16:03 | INFO | router | Page navigation completed: url="\UI\lesson\index.html"
2026-03-03 19:16:03 | DEBUG | lesson_controller | UI load finished, opening the first task
2026-03-03 19:16:03 | INFO | lesson_controller | Opening task: index=1/7 id=explanation
2026-03-03 19:16:36 | DEBUG | __main__ | Application startup
